Batch,AddTime(ns),PollTime(ns)
397,67583,41833
398,66083,41833
399,64166,41875
400,67292,41792
401,66333,41833
402,64875,41875
403,69250,41791
404,66583,41833
405,69042,41375
406,66708,41750
407,67334,41750
408,65208,41791
409,63583,41791
410,61833,41750
411,63042,41792
412,61750,41750
413,60917,41417
414,61917,41958
415,63083,41791
416,61625,42167
417,63666,41792
418,62125,41791
419,61458,41833
420,62917,41958
421,62584,41750
422,62041,41833
423,61542,41916
424,61959,41750
425,61042,41750
426,62292,41750
427,61625,41875
428,62417,41792
429,62625,42125
430,62834,41875
431,67208,41833
432,66500,41791
433,77834,41709
434,69583,41917
435,66083,41166
436,65125,41916
437,68041,41917
438,66834,41792
439,65583,41875
440,68250,41833
441,65584,41750
442,65542,41875
443,67167,42041
444,65458,41875
445,66958,41958
446,67583,41917
447,65792,41791
448,66584,41334
449,66041,41875
450,65292,41875
451,68125,41875
452,66209,41708
453,66417,41875
454,65750,41875
455,64417,41917
456,64459,41875
457,65625,41500
458,67417,41834
459,66125,41875
460,67292,41875
461,66042,41875
462,64708,41834
463,66500,57291
464,78125,41791
465,67500,41834
466,72458,41792
467,65958,41833
468,66500,41833
469,65375,41792
470,71750,41833
471,65292,41875
472,65083,41833
473,65250,41834
474,71917,41875
475,66708,41833
476,64083,41833
477,66792,41750
478,65083,41917
479,64000,42041
480,69750,45708
481,65625,64834
482,66542,41875
483,67709,41792
484,66334,41834
485,64417,41750
486,66958,41958
487,66417,41834
488,65625,41792
489,66709,41875
490,64834,41292
491,65791,42333
492,73542,41917
493,67959,41875
494,62333,41916
495,62875,41792
496,61750,41834
497,62084,41834
498,61334,41833
499,61667,41833
500,61834,41875
501,60875,41833
502,62083,41917
503,62916,41833
504,61292,41750
505,61291,41917
506,64416,42500
507,65291,42666
508,56333,4000
509,17875,4000
510,16208,3917
511,19542,4000
512,13834,3959
513,13750,3916
514,15917,4000
515,14833,4000
516,13792,3916
517,18667,3708
518,15750,4000
519,14542,3916
520,14125,3917
521,16209,3875
522,14167,3917
523,13917,3917
524,16542,3917
525,15125,3916
526,14625,3958
527,17834,3917
528,13541,3875
529,17167,4000
530,16125,3959
531,14125,3959
532,14208,3958
533,14875,4042
534,15583,3958
535,14041,3959
536,13833,3917
537,19125,3917
538,13917,3917
539,13834,3917
540,17458,4000
541,14167,3916
542,16250,3917
543,15959,3959
544,13667,4000
545,13417,3917
546,15625,3917
547,13625,3917
548,11291,3958
549,9416,3917
550,9291,3917
551,9250,3917
552,9666,3917
553,9500,3959
554,9584,3917
555,9458,3916
556,9250,3917
557,9166,3917
558,10375,3709
559,9167,3916
560,9417,3917
561,9375,4000
562,9333,3875
563,9125,3875
564,9083,3875
565,9416,3958
566,9125,3917
567,9542,3958
568,9208,3917
569,9542,3916
570,9792,3917
571,9500,3917
572,9209,3917
573,9125,4000
574,9166,3917
575,9458,4000
576,9583,3916
577,9500,4000
578,9125,4000
579,9083,3917
580,9084,3917
581,9541,3917
582,9875,3917
583,9291,3959
584,9541,3959
585,9250,3667
586,9542,3917
587,9250,3958
588,9667,3958
589,9250,3959
590,9542,3916
591,9375,3959
592,9375,3958
593,9708,3959
594,9084,3958
595,9125,3958
596,9083,3958
597,9667,3959
598,9709,3917
599,9083,3917
600,9084,3958
601,9084,3917
602,9250,3916
603,9208,3916
604,9625,3875
605,9166,3917
606,9542,4000
607,9208,3917
608,9542,4000
609,9500,3917
610,9333,4000
611,9375,3958
612,9250,3959
613,10709,3833
614,9209,3959
615,9208,4000
616,9208,3958
617,9583,3917
618,9250,3917
619,9208,4000
620,9583,3917
621,9458,3958
622,9208,3667
623,9416,3917
624,9083,3916
625,12000,3875
626,14042,4000
627,11834,3917
628,9292,3958
629,9125,4000
630,9083,3916
631,9209,4000
632,9250,3917
633,9375,3917
634,9083,3916
635,9084,3875
636,9750,4000
637,9334,4000
638,9125,4000
639,9084,3958
640,9167,3917
641,11000,3917
642,9208,3916
643,9417,3917
644,9125,4000
645,9125,3959
646,9125,3958
647,9084,3958
648,9375,4000
649,9291,4042
650,9125,3875
651,12041,3959
652,14584,3834
653,15834,3917
654,14000,3917
655,13958,3958
656,15542,4000
657,14125,4000
658,13541,3917
659,15333,3917
660,14042,4000
661,14542,3958
662,16792,3916
663,14208,4000
664,14708,3958
665,16000,4125
666,13834,3959
667,13875,3916
668,15791,3750
669,13750,4042
670,14000,4000
671,15625,3917
672,13917,3958
673,13709,3875
674,15625,3917
675,13917,3917
676,14000,3917
677,14250,3958
678,14792,3583
679,13875,4000
680,16250,3916
681,14375,4000
682,14250,3917
683,14334,4000
684,16292,4042
685,24167,4041
686,25875,3917
687,31834,4000
688,24709,3917
689,33709,3875
690,16083,3958
691,14750,4000
692,44958,4208
693,16166,3917
694,14417,4041
695,13959,4166
696,15542,3666
697,14333,3959
698,13458,4000
699,15542,4000
700,13875,3958
701,14083,3917
702,15875,3917
703,13750,3917
704,14000,4000
705,16000,4000
706,14042,3916
707,14750,3916
708,15708,3916
709,14000,3917
710,14167,3916
711,15917,4000
712,13959,3584
713,13917,3958
714,16125,4125
715,14084,3917
716,13916,3959
717,16000,4000
718,14666,3875
719,14292,4000
720,16333,3916
721,13916,3834
722,14500,4000
723,15792,3833
724,14292,3958
725,14458,3916
726,16000,4000
727,14458,3917
728,14000,3917
729,15000,3917
730,13750,3917
731,14375,3917
732,13917,3958
733,16416,3958
734,14417,4000
735,14583,3875
736,16042,3917
737,13875,3959
738,13792,4000
739,17167,3916
740,14125,3625
741,14250,4000
742,18625,4000
743,13791,3917
744,15084,3917
745,15625,3917
746,14917,4000
747,13625,4084
748,15584,4000
749,13917,3958
750,15209,3917
751,15750,4000
752,13542,3916
753,13750,3916
754,15875,3959
755,14500,3958
756,13958,3916
757,18875,3875
758,13875,3958
759,11333,3916
760,9083,3916
761,9125,3958
762,9667,3917
763,9625,3958
764,9291,3959
765,9125,4000
766,9750,3916
767,10125,4000
768,9083,4125
769,9250,4083
770,9792,4000
771,9792,3917
772,9792,3958
773,9083,3958
774,9625,3959
775,9416,3917
776,9292,3958
777,9125,3958
778,10417,3792
779,9250,3917
780,9125,3875
781,9167,3959
782,9291,3875
783,9583,3958
784,9208,3875
785,9667,3958
786,9416,4083
787,9750,3916
788,9250,3917
789,9459,3917
790,9959,3834
791,9417,3959
792,9334,3917
793,9167,3917
794,9625,3958
795,9583,3916
796,9417,3917
797,9916,3917
798,9500,3917
799,9709,3958
800,9250,4000
801,9625,3916
802,9291,3917
803,9500,3959
804,9208,3917
805,9125,3958
806,18625,4084
807,14750,3917
808,14834,4000
809,16667,3916
810,14666,3917
811,14375,3667
812,17583,4000
813,14708,4000
814,14625,3917
815,17292,3916
816,14583,3958
817,15125,3875
818,17000,3916
819,14708,3958
820,14500,3916
821,17000,4000
822,60708,3958
823,15917,4000
824,16833,3958
825,14250,3875
826,14583,3917
827,14208,4000
828,16750,3917
829,15041,3708
830,15042,4167
831,16041,3917
832,14458,3917
833,17292,3791
834,14541,3959
835,14500,3916
836,14375,3916
837,17041,3958
838,14708,3917
839,14792,3917
840,17458,3916
841,14458,3917
842,14625,3917
843,17083,4000
844,14625,3958
845,15292,3666
846,17791,3917
847,14750,3916
848,14375,3958
849,16708,3958
850,15917,4000
851,14167,3917
852,16834,4000
853,14708,3917
854,14542,3958
855,17250,3959
856,14792,3958
857,14416,3625
858,17125,3958
859,14875,3917
860,14292,3917
861,16750,3625
862,14209,3958
863,14458,4000
864,17083,3916
865,14708,4125
866,14583,4000
867,17083,3958
868,14208,3958
869,14500,3875
870,18208,4042
871,14250,3917
872,15042,3875
873,17000,3958
874,14917,3958
875,15083,4000
876,17500,3958
877,14625,3959
878,16167,4000
879,14500,3958
880,16625,4000
881,14792,3917
882,14791,3583
883,17667,3959
884,15500,3750
885,14750,3958
886,17500,3916
887,16750,3916
888,15709,3833
889,17917,3916
890,15041,3917
891,14500,3917
892,16833,3916
893,14583,3916
894,14708,3917
895,17459,3917
896,14500,3917
897,14459,3917
898,16875,3917
899,14334,3917
900,15042,4083
901,17125,3959
902,14750,4000
903,14791,3917
904,17333,3917
905,16041,3917
906,14583,3916
907,17333,4000
908,14666,3917
909,14542,3917
910,32250,4000
