Batch,AddTime(ns),PollTime(ns)
397,86875,113084
398,87875,113459
399,86792,113125
400,87541,113042
401,84959,113334
402,87083,113083
403,88208,112958
404,90375,113125
405,86291,112875
406,86500,154625
407,89000,173208
408,88333,153542
409,155209,189084
410,95042,131750
411,87708,128375
412,88083,124541
413,86584,127709
414,176542,131958
415,85958,181750
416,90542,113500
417,111000,132208
418,95125,115000
419,87333,171834
420,88292,126750
421,85250,123208
422,87709,132209
423,105250,123916
424,86917,121500
425,86958,120416
426,86625,119000
427,86834,117584
428,84875,115667
429,86667,115166
430,88250,114625
431,86625,114583
432,86625,130917
433,101333,134291
434,101459,134125
435,101416,133458
436,103000,134750
437,101500,133917
438,101500,133667
439,102458,133666
440,101625,133625
441,104250,133333
442,101208,133625
443,103291,133250
444,102375,133375
445,101834,133792
446,101875,133833
447,101792,133500
448,101291,133083
449,101333,133625
450,100083,133667
451,101583,133750
452,101875,133500
453,105500,133000
454,101500,133375
455,101459,133375
456,105333,133208
457,100167,132708
458,102584,138292
459,102167,132875
460,101583,133125
461,123667,253667
462,107042,152917
463,107500,148375
464,99958,150416
465,103542,150250
466,110917,150625
467,112417,145584
468,108583,140916
469,106958,141250
470,106125,143166
471,208333,141417
472,109125,295417
473,149500,153292
474,170584,189375
475,103625,155458
476,102583,151458
477,102875,144750
478,99542,140667
479,101750,138708
480,101959,137709
481,102000,136917
482,102166,137625
483,103333,141291
484,104333,136375
485,103250,141459
486,106166,136583
487,102500,135375
488,101375,135000
489,99584,134584
490,101625,134333
491,101625,187916
492,110208,160250
493,104334,157417
494,108625,151875
495,104875,147083
496,105417,146750
497,108541,144917
498,107709,143709
499,107709,142292
500,106084,142292
501,107375,141917
502,104958,182959
503,116792,157750
504,116167,154459
505,106916,150750
506,105792,149542
507,104833,147541
508,107375,144709
509,108875,143959
510,130875,142666
511,108083,141291
512,107000,141458
513,104000,140750
514,108833,139042
515,116792,173875
516,108250,163583
517,109083,229458
518,121042,175041
519,108667,168208
520,108708,165375
521,107208,177417
522,189666,158709
523,106250,157541
524,102417,159000
525,104750,145208
526,104083,141916
527,104167,143708
528,105500,137959
529,151500,139666
530,103583,139375
531,101666,136875
532,103833,135625
533,102417,134791
534,103208,135250
535,103167,133916
536,103125,134542
537,104625,134334
538,101125,133500
539,103125,133417
540,103792,133792
541,104125,133625
542,102708,133708
543,106750,134125
544,103500,132958
545,100917,134000
546,103541,136125
547,105125,134291
548,103375,132833
549,101167,137333
550,102250,132666
551,149250,133084
552,100375,132750
553,102584,132750
554,102333,132583
555,102000,132125
556,102208,131708
557,101791,131958
558,102334,132292
559,100459,132167
560,102125,132083
561,102334,131959
562,102333,131958
563,101500,131791
564,101625,132250
565,102041,131708
566,99292,193166
567,107041,155583
568,102958,150625
569,102917,145541
570,101834,195125
571,105625,154209
572,102250,148625
573,100583,145416
574,101667,142459
575,102208,141042
576,101791,140625
577,120667,178041
578,105209,442916
579,136917,156291
580,96416,129000
581,104375,128459
582,140250,187417
583,131916,185583
584,129375,250250
585,98708,129542
586,94667,358916
587,92417,130375
