Batch,AddTime(ns),PollTime(ns)
397,14875,7458
398,16291,7708
399,16833,7416
400,16458,7416
401,16500,7375
402,16458,7542
403,16541,7500
404,16834,7416
405,14875,7500
406,16375,7417
407,16875,7458
408,16417,7459
409,16250,7416
410,16416,7459
411,16500,7417
412,21667,7500
413,17084,7459
414,16291,7416
415,17208,7417
416,16458,7417
417,16458,7500
418,14958,7375
419,16833,7542
420,16542,7333
421,16250,7416
422,16416,7459
423,16333,7833
424,16500,7416
425,14833,7500
426,16250,7417
427,16333,7708
428,16500,7459
429,16458,7417
430,16166,7583
431,16167,7833
432,14917,7458
433,16250,7417
434,16542,7417
435,16250,7792
436,16542,7416
437,16291,7459
438,17375,7458
439,16208,7792
440,14833,7459
441,16209,7417
442,16500,7416
443,16250,7750
444,17750,7542
445,16333,7417
446,16333,7542
447,14958,7458
448,16708,7375
449,16375,7375
450,16208,7416
451,16209,7417
452,16583,7417
453,16084,7417
454,14834,7375
455,16375,7417
456,16500,7417
457,16333,7542
458,18875,7458
459,16125,7458
460,16792,7375
461,14917,7459
462,16125,7459
463,16291,7542
464,16542,7375
465,18041,7417
466,16166,7458
467,16208,7375
468,14917,7833
469,16458,7375
470,37166,7875
471,17209,7417
472,16292,8292
473,16291,7417
474,15000,7459
475,16417,7375
476,16292,7791
477,16292,7416
478,17209,7458
479,16250,7375
480,16417,7750
481,16542,7458
482,14875,7458
483,16292,7458
484,16458,7792
485,16292,7417
486,16292,7417
487,16250,7458
488,16041,7459
489,15166,7417
490,16333,7458
491,16167,7416
492,16042,7375
493,16500,7416
494,16209,7458
495,16125,7417
496,14875,7375
497,16542,7458
498,16458,7375
499,16125,7458
500,16208,7458
501,16625,7375
502,14959,7375
503,16542,7625
504,16583,7375
505,41125,31208
506,45750,1333
507,7083,1459
508,6750,1333
509,4334,1292
510,6500,1333
511,6917,1292
512,7000,1291
513,8000,1292
514,6709,1292
515,7084,1292
516,6834,1292
517,4333,1291
518,6750,1291
519,7250,1291
520,6917,1333
521,6667,1292
522,6625,1292
523,6791,1292
524,4208,1291
525,6792,1291
526,6875,1292
527,6708,1291
528,6708,1333
529,6625,1292
530,6625,1333
531,4292,1292
532,6542,1333
533,6709,1334
534,6875,1291
535,6916,1292
536,6667,1292
537,6667,1333
538,4292,1292
539,6625,1292
540,6792,1291
541,6708,1292
542,6750,1333
543,6625,1334
544,8458,1292
545,4333,1292
546,6709,1292
547,6625,1291
548,6833,1375
549,7500,1375
550,6834,1333
551,7000,1333
552,6625,1291
553,7458,1291
554,6792,1333
555,6667,1333
556,4291,1292
557,6792,1292
558,6709,1292
559,6792,1292
560,6834,1333
561,6792,1333
562,4667,1333
563,6000,1333
564,6709,1291
565,6791,1333
566,6541,1292
567,6667,1334
568,6667,1334
569,4291,1292
570,6833,1334
571,6708,1333
572,6791,1292
573,6750,1292
574,6792,1333
575,6875,1334
576,4250,1291
577,6792,1291
578,6875,1292
579,6709,1292
580,7042,1333
581,6875,1292
582,7083,1292
583,4250,1291
584,6916,1375
585,6917,1417
586,7333,1250
587,7333,1417
588,7250,1291
589,7209,1292
590,4792,1333
591,5958,1291
592,6875,1292
593,7542,1333
594,7250,1292
595,7583,1292
596,7500,1333
597,7166,1292
598,4375,1291
599,6833,1333
600,6791,1292
601,6667,1292
602,6625,1334
603,6750,1292
604,6791,1292
605,4333,1334
606,6625,1292
607,6750,1292
608,6625,1291
609,6792,1292
610,6500,1333
611,6959,1375
612,4417,1375
613,6792,1333
614,6584,1292
615,6625,1334
616,6875,1333
617,7167,1333
618,4875,1334
619,8000,1291
620,6708,1333
621,6916,1292
622,6750,1291
623,6916,1334
624,6708,1334
625,4333,1334
626,6583,1292
627,7292,1375
628,6791,1292
629,6583,1291
630,6916,1417
631,6792,1292
632,6875,1334
633,4250,1291
634,6750,1333
635,6834,1250
636,6834,1333
637,6959,1375
638,6917,1291
639,7125,1292
640,4250,1333
641,14791,1458
642,8458,1416
643,7000,1375
644,6958,1334
645,6833,1333
646,5125,1333
647,5959,1333
648,7125,1333
649,6834,1334
650,6958,1334
651,6792,1334
652,7417,1291
653,4291,1292
654,6708,1334
655,7167,1292
656,7000,1292
657,6708,1292
658,6917,1292
659,6834,1334
660,4208,1292
661,6917,1292
662,6916,1334
663,6917,1292
664,6875,1334
665,6833,1333
666,6666,1292
667,7625,1417
668,4250,1292
669,7125,1292
670,6916,1334
671,6917,1333
672,6834,1334
673,6875,1291
674,25625,1292
675,4292,1292
676,6875,1291
677,6917,1291
678,49209,1375
679,6917,1292
680,6833,1291
681,6875,1292
682,4250,1292
683,6917,1334
684,6833,1334
685,6750,1333
686,6625,1292
687,6750,1291
688,6625,1334
689,4292,1291
690,6666,1292
691,6792,1375
692,6791,1375
693,6792,1291
